FIPS,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
18145,93.66729678638941,0.9631830047709063,3.706454226302998,0.5446034746601854,0.19128634440543704,0.01575299306868305,13.925645872715814,24.405887118552524,54639.0,11.9,0,17.2,0,1,0.0
18147,95.93833524245895,0.4581901489117984,2.467544864452081,0.3293241695303551,0.18136693394425352,0.0,15.010500190912564,24.1647575410462,56451.0,9.4,0,12.0,0,0,0.0
18149,95.07340666866413,0.2696571501947524,3.278688524590164,0.17549116123785471,0.2610966057441253,0.0,15.30197320549587,24.38043059538587,48106.0,14.8,0,23.0,0,0,0.0
18151,95.10896592072548,0.4534152406026034,2.8726049436887524,0.4738920579201405,0.23694602896007025,0.017551557700745943,14.88957144946614,22.919409097557413,53191.0,10.1,0,16.0,0,0,0.0
18153,92.80558789289871,4.405122235157159,1.3690337601862632,0.18160651920838186,0.2467986030267753,0.004656577415599534,14.835855646100116,21.373690337601865,44939.0,16.4,0,20.9,0,1,0.0
18155,97.2203900876284,0.2920946009610854,1.385093752944502,0.1696033166870819,0.15075850372185054,0.018844812965231317,14.595307641571658,25.64779044567982,46344.0,15.9,0,28.3,0,0,0.0
18157,80.36520430605394,3.895705521472392,7.493344137052901,6.180692209746499,0.2019909711772196,0.02372959833314041,9.479685148744068,20.67195277231161,50170.0,18.9,0,17.8,0,1,0.0
18159,96.35416666666666,0.1757028112449799,2.1711847389558234,0.4016064257028112,0.12550200803212852,0.03137550200803213,17.181224899598394,23.236696787148595,56292.0,8.7,0,12.9,0,0,0.0
18161,96.86003193187864,0.4390633315593401,1.091005854177754,0.2527940393826503,0.2527940393826503,0.07982969664715274,14.462480042575836,25.079829696647163,45050.0,12.4,0,20.3,0,1,0.0
18163,85.18499969393946,9.03045580763816,2.1552227842606966,1.1051568421228362,0.19198343934158027,0.0495261626127555,14.410443899100182,22.201076220207792,43823.0,17.2,0,24.8,0,1,0.0
18165,97.84110535405873,0.1295336787564767,0.8018751542067604,0.1912163829262275,0.17887984209227736,0.0308413520848754,16.87638786084382,23.0940044411547,44376.0,12.9,0,18.5,0,1,0.0
18167,86.74245234033083,6.834619093539055,2.2893331355240707,1.6476893405533717,0.2976411245456569,0.02967138936280692,13.455047845115347,21.371745419479264,39635.0,20.4,0,25.2,0,1,0.0
18169,95.38129408902945,0.4712965215276088,2.1193140355144733,0.4074434444174167,0.6415713938214546,0.01824373631719776,18.097786426660182,22.680004864996352,48223.0,12.0,0,18.1,0,0,1.0
18171,97.80206864127881,0.11753643629525153,0.8227550540667606,0.4231311706629055,0.152797367183827,0.07052186177715092,16.596144804889516,23.460272684532203,57768.0,10.2,0,16.3,0,0,0.0
18173,93.97879006182043,1.3067734423428103,1.584881636482434,1.6033104927206017,0.16418435557640434,0.030156310207911007,13.332439813030875,25.85233460101527,66461.0,7.5,0,9.8,0,1,0.0
18175,97.44179463590687,0.22291416035666264,1.0756492817210388,0.3042955204868728,0.15922440025475906,0.007076640011322624,13.54115066166584,25.214068360342512,43498.0,14.4,0,22.9,0,1,0.0
18177,88.97949707619308,4.859468636185556,2.6176415108028497,0.7574328540127979,0.20314291103791515,0.06384491489763049,16.43861456534672,23.04656325725148,41849.0,18.0,0,28.4,0,0,1.0
18179,96.26574033868866,0.32204371110146185,2.0408163265306123,0.3690838037342597,0.2569112751483572,0.010855405992184108,15.704154002026346,24.96381531335939,55987.0,9.5,0,13.8,0,1,0.0
18181,91.18208010388344,0.20695532199813332,7.085176317818448,0.3368096416832366,0.21101326948829285,0.01623178996063791,17.165117883374588,24.185367041350485,50370.0,10.9,0,17.9,0,0,0.0
18183,96.56073531178663,0.2883575633785895,1.5469181785413912,0.3153910849453322,0.22828307100804995,0.02102607232968881,13.9643157515319,24.579478553406226,56142.0,7.9,0,11.3,0,1,0.0
19001,97.72194740952877,0.14319187711533454,1.3147617807862535,0.2863837542306691,0.0520697734964853,0.013017443374121324,21.400676907055455,22.455089820359284,51531.0,11.9,0,16.5,0,0,1.0
19003,97.34425415735916,0.19856043683296104,0.9183420203524448,0.570861255894763,0.4467609828741623,0.0,21.34524695954331,21.07222635889799,48162.0,12.5,0,20.2,0,0,1.0
19005,92.986741102582,0.7606420097697139,5.282623866015354,0.2302861130495464,0.21632937892533147,0.07676203768318214,19.56036287508723,23.098394975575715,47756.0,10.8,0,17.0,0,0,0.0
