FIPS,GROCPTH09,GROCPTH14,SUPERCPTH09,SUPERCPTH14,CONVSPTH09,CONVSPTH14,SPECSPTH09,SPECSPTH14,SNAPSPTH12,SNAPSPTH16,WICSPTH08,WICSPTH12
1017,0.20358306199999998,0.205423172,0.029083299999999996,0.0293462,0.63983248,0.67496185,0.029083299999999996,0.0586923,1.005460310004697,1.1080577962946498,0.1740493,0.17613900000000002
1019,0.154714938,0.19203441300000001,0.038678699999999996,0.0384069,0.5415022820000001,0.691323885,0.038678699999999996,0.0384069,1.191345451750509,1.2568837058633,0.2048089,0.23058299999999998
1021,0.160978751,0.136577815,0.022997,0.022763,0.850887683,0.773940953,0.091987858,0.068288908,1.0668887925329194,1.22512763326582,0.16394979999999998,0.159748
1023,0.286204923,0.22517451,0.0,0.0,1.144819691,0.900698041,0.07155123099999999,0.0,1.1980733025257344,1.1801226301341698,0.355038,0.22005429999999995
1025,0.230432445,0.20044097,0.076810815,0.080176388,0.691297335,0.521146522,0.076810815,0.080176388,1.5963859412053043,1.68087897671368,0.533049,0.3179524
1027,0.21419391699999998,0.22136954,0.0,0.0,0.571183778,0.516528926,0.071397972,0.073789847,0.7567299342513336,0.982063445004447,0.2172811,0.2232974
1029,0.201099343,0.132625995,0.0,0.0,0.7373642579999999,0.663129973,0.0,0.0,1.1236965120460265,0.76498704547485,0.33930509999999997,0.337109
1031,0.141585761,0.098214461,0.020226499999999998,0.0196429,0.606796117,0.53035809,0.0,0.0196429,0.7316787637555607,0.8817137130884058,0.1465263,0.1560915
1033,0.16536214300000002,0.18334158399999997,0.0183736,0.018334200000000002,0.790063573,0.78836881,0.0551207,0.055002499999999996,1.0239503361128457,1.39718902169101,0.2013693,0.1469346
1035,0.226005725,0.157853197,0.0,0.0,1.2053638690000001,1.1049723759999999,0.075335242,0.0,1.7525614359448425,1.2639505176818602,0.15339779999999997,0.0770357
1037,0.0,0.091861106,0.0,0.0,0.78878177,0.734888848,0.0,0.0,0.4559547692868868,0.378036102447784,0.1864976,0.091191
